Student_ID,Age,Department,Electronics,Programming,Database,Data Science,Mathematics,DSA,Gender,CGPA
S00047,22,CSE,49,78,62,44,81,82,Female,5.13
S00048,20,CSE,78,91,99,30,78,62,Male,8.17
S00049,20,CSE,82,65,51,56,46,53,Female,5.2
S00050,18,CSE,89,77,76,82,60,87,Male,6.48
S00051,19,CSE,96,71,47,61,41,40,Female,8.8
S00052,21,CSE,70,76,98,85,91,72,Male,9.54
S00053,20,CSE,30,71,96,54,40,90,Male,7.38
S00054,20,CSE,86,41,87,92,60,48,Female,8.05
S00055,23,CSE,57,77,49,74,46,99,Male,7.97
S00056,24,CSE,50,38,95,98,79,72,Male,6.14
S00057,18,CSE,63,76,56,84,38,40,Male,5.17
S00058,20,CSE,30,90,55,90,76,48,Male,7.34
S00059,24,CSE,68,37,76,45,58,39,Female,9.2
S00060,18,CSE,61,33,93,34,78,84,Female,9.59
S00061,24,CSE,53,78,80,38,64,58,Female,6.91
S00062,19,CSE,68,86,46,68,38,96,Female,7.55
S00063,20,CSE,31,41,89,68,58,72,Male,9.78
S00064,19,CSE,42,98,45,65,85,62,Female,7.23
S00065,22,CSE,35,78,36,41,67,96,Male,9.08
S00066,20,CSE,64,81,34,40,41,73,Male,8.83
S00067,21,CSE,57,55,76,44,88,82,Male,6.46
S00068,20,CSE,99,33,89,71,44,32,Female,5.34
S00069,23,CSE,32,79,32,37,69,82,Male,8.09
S00070,24,CSE,81,61,99,40,96,82,Female,8.54
S00071,18,CSE,50,58,54,66,90,31,Female,5.55
S00072,24,CSE,65,93,44,45,55,73,Female,8.54
S00073,21,CSE,71,82,96,53,36,80,Female,7.29
S00074,20,CSE,63,92,61,90,94,67,Female,9.44
S00075,24,CSE,77,74,81,46,75,47,Male,9.74
S00076,24,CSE,75,71,81,41,81,92,Male,6.99
S00077,23,CSE,42,78,57,71,54,97,Female,9.54
S00078,18,CSE,36,94,69,51,84,69,Male,8.82
S00079,22,CSE,58,37,93,72,82,99,Male,7.07
S00080,22,CSE,97,76,65,77,95,58,Male,5.9
S00081,23,CSE,90,86,42,96,56,85,Female,7.22
S00082,23,CSE,69,72,82,46,63,89,Female,7.35
S00083,20,CSE,92,81,96,54,83,68,Male,5.1
S00084,23,CSE,57,37,80,53,40,53,Male,9.09
S00085,23,CSE,95,99,97,97,91,32,Male,9.69
S00086,22,CSE,69,48,45,79,58,69,Male,9.61
S00087,20,CSE,62,52,87,47,50,97,Female,7.63
S00088,20,CSE,67,58,36,53,83,80,Male,9.5
S00089,18,CSE,53,37,41,57,35,83,Female,6.99
S00090,21,CSE,60,85,50,80,53,73,Male,6.64
S00091,21,CSE,56,80,30,75,94,54,Male,7.6
S00092,21,CSE,40,31,83,73,89,70,Female,7.49
S00093,22,CSE,67,30,62,40,50,42,Female,9.49
S00094,24,CSE,77,32,83,59,54,35,Female,9.38
S00095,22,CSE,55,82,78,96,85,74,Male,8.18
S00096,20,CSE,33,97,35,61,31,36,Male,6.55
S00097,21,CSE,74,74,64,94,38,83,Male,9.03
S00098,23,CSE,99,49,67,60,62,90,Male,6.45
S00099,22,CSE,96,44,84,80,99,91,Male,6.12
S00100,19,CSE,36,62,55,94,36,95,Male,5.05
S00101,24,CSE,60,42,60,77,81,57,Male,5.13
S00102,19,CSE,68,60,73,41,50,79,Male,7.83
S00103,24,CSE,61,95,99,67,74,72,Female,7.74
S00104,19,CSE,98,71,55,60,30,53,Male,7.58
S00105,23,CSE,78,48,94,93,72,63,Male,5.39
S00106,19,CSE,52,43,36,76,92,59,Male,8.78
S00107,24,CSE,54,62,72,67,69,35,Female,7.8
S00108,23,CSE,32,93,88,36,41,44,Female,5.08
S00109,19,CSE,37,85,50,51,67,68,Female,6.38
S00110,24,CSE,88,80,37,33,71,81,Female,5.08
S00111,18,CSE,65,95,32,37,92,71,Female,9.27
S00112,20,CSE,36,56,45,85,38,93,Male,8.91
S00113,18,CSE,50,34,33,33,34,40,Female,9.38
S00114,23,CSE,61,70,45,61,56,81,Female,9.8
S00115,20,CSE,82,69,61,54,98,41,Male,9.45
S00116,24,CSE,67,89,51,92,44,74,Male,5.68
S00117,23,CSE,43,73,97,71,92,64,Male,6.82
S00118,19,CSE,87,86,92,32,47,60,Female,7.92
S00119,18,CSE,87,48,74,97,83,49,Male,7.92
S00120,18,CSE,79,87,36,43,55,52,Female,9.24
S00121,24,CSE,78,60,81,96,70,76,Male,7.55
S00122,20,CSE,87,51,91,71,49,40,Female,6.08
S00123,21,CSE,57,45,73,82,74,96,Male,8.81
S00124,18,CSE,39,50,76,71,79,31,Female,8.72
S00125,18,CSE,45,54,44,76,95,62,Male,5.14
S00126,23,CSE,45,78,93,33,41,97,Male,6.09
S00127,21,CSE,71,61,91,41,51,92,Male,5.89
S00128,21,CSE,57,74,69,72,33,55,Male,6.69
S00129,19,CSE,73,86,59,82,87,98,Male,8.21
S00130,23,CSE,48,40,72,52,64,81,Female,8.79
S00131,22,CSE,75,39,64,40,86,89,Female,8.08
S00132,19,CSE,88,72,50,64,54,81,Male,7.95
S00133,22,CSE,49,82,89,91,92,79,Female,7.08
S00134,20,CSE,74,36,66,36,83,91,Male,6.72
S00135,18,CSE,41,58,60,54,77,53,Male,5.91
S00136,22,CSE,31,81,92,35,42,41,Male,7.72
S00137,20,CSE,34,56,41,71,94,54,Female,5.09
S00138,21,CSE,80,65,31,79,99,48,Female,9.98
S00139,23,CSE,89,67,91,85,89,61,Female,5.32
S00140,24,CSE,45,43,84,76,34,63,Male,7.27
S00141,19,CSE,79,67,52,99,60,52,Male,9.98
S00142,19,CSE,84,35,90,78,89,93,Male,9.5
S00143,19,CSE,85,56,43,62,57,74,Male,9.37
S00144,23,CSE,88,75,59,94,87,40,Female,6.06
S00145,22,CSE,63,48,35,99,56,60,Male,8.1
S00146,24,CSE,82,60,42,35,70,55,Female,6.81
S00147,24,CSE,35,39,61,85,32,62,Male,5.89
S00148,23,CSE,75,85,38,44,75,43,Male,9.12
S00149,22,CSE,44,70,69,93,57,78,Female,7.87
S00150,23,CSE,49,94,37,94,50,54,Female,9.41
S00151,21,CSE,94,52,58,80,46,76,Female,9.62
S00152,19,CSE,58,32,77,45,46,77,Male,8.88
S00153,18,CSE,41,61,54,72,84,40,Female,8.93
S00154,20,CSE,41,78,56,59,33,55,Female,9.69
S00155,21,CSE,87,87,43,55,37,67,Female,9.05
S00156,18,CSE,70,62,82,74,63,85,Male,7.98
S00157,24,CSE,94,68,91,69,47,56,Female,5.92
S00158,20,CSE,72,68,86,44,79,38,Female,9.05
S00159,20,CSE,44,83,89,88,71,89,Female,8.63
S00160,19,CSE,97,36,34,86,31,48,Male,8.19
S00161,19,CSE,85,64,60,64,73,80,Male,5.27
S00162,19,CSE,64,60,92,70,54,31,Male,8.53
S00163,23,CSE,72,34,76,95,32,67,Female,5.6
S00164,24,CSE,96,81,85,71,43,50,Female,8.52
S00165,18,CSE,33,49,38,72,54,72,Male,8.09
S00166,20,CSE,54,51,46,58,31,56,Female,8.9
S00167,20,CSE,86,77,79,46,53,63,Male,9.67
S00168,19,CSE,55,34,56,31,76,76,Female,9.5
S00169,24,CSE,70,86,98,37,60,55,Male,7.52
S00170,21,CSE,52,45,54,93,39,58,Male,8.24
S00171,19,CSE,55,71,77,92,76,51,Female,6.54
S00172,21,CSE,96,45,51,83,57,58,Female,6.33
S00173,22,CSE,65,86,63,69,44,55,Male,6.8
S00174,23,CSE,80,71,64,93,70,40,Male,9.9
S00175,19,CSE,82,77,39,33,54,86,Male,9.3
S00176,18,CSE,78,56,70,92,33,37,Male,9.8
S00177,22,CSE,35,40,47,52,87,73,Female,8.1
S00178,18,CSE,50,98,36,71,48,43,Female,6.55
S00179,21,CSE,51,56,40,54,93,51,Female,9.11
S00180,22,CSE,54,36,86,81,59,36,Male,5.99
S00181,19,CSE,84,90,37,98,89,95,Female,8.13
S00182,18,CSE,31,47,53,72,84,59,Female,8.71
S00183,23,CSE,65,90,73,35,35,78,Male,8.59
S00184,18,CSE,60,67,66,97,38,70,Male,9.8
S00185,20,CSE,58,55,33,52,95,75,Male,6.96
S00186,21,CSE,40,57,49,66,73,35,Female,7.83
S00187,21,CSE,87,79,78,53,78,53,Male,8.33
S00188,18,CSE,96,91,65,33,39,32,Female,8.95
S00189,19,CSE,79,79,99,96,32,39,Male,6.54
S00190,18,CSE,31,63,49,30,44,33,Female,7.36
S00191,20,CSE,40,35,61,46,39,55,Female,6.44
S00192,23,CSE,41,98,38,94,95,30,Female,9.74
S00193,21,CSE,64,70,81,84,53,93,Female,6.52
S00194,24,CSE,85,74,60,78,80,94,Male,7.51
S00195,21,CSE,41,33,96,43,88,41,Female,8.58
S00196,21,CSE,61,69,44,63,69,79,Female,9.08
S00197,24,CSE,41,68,65,84,69,49,Male,5.2
S00198,18,CSE,44,34,83,85,70,56,Female,6.31
S00199,20,CSE,70,49,62,40,73,46,Male,6.8
S00200,22,CSE,77,98,58,82,48,40,Male,8.34
S00201,21,CSE,85,42,90,61,84,83,Male,6.33
S00202,18,CSE,36,91,57,58,30,40,Male,9.62
S00203,19,CSE,77,35,72,86,89,39,Female,9.82
S00204,20,CSE,68,92,87,78,47,64,Female,5.99
S00205,24,CSE,32,73,71,99,76,81,Female,6.82
S00206,23,CSE,51,71,97,58,42,51,Male,9.0
S00207,18,CSE,64,71,68,35,81,56,Female,5.6
S00208,24,CSE,75,89,90,34,44,75,Female,5.71
S00209,23,CSE,39,33,56,61,57,97,Male,5.96
S00210,22,CSE,78,74,56,94,62,59,Male,9.89
S00211,24,CSE,54,96,36,66,89,85,Female,6.99
S00212,20,CSE,73,75,76,64,93,47,Female,5.08
S00213,24,CSE,61,46,66,95,94,64,Male,8.07
S00214,19,CSE,73,33,58,49,73,67,Female,7.09
S00215,18,CSE,85,88,39,48,90,80,Female,6.63
S00216,21,CSE,84,84,90,61,73,79,Male,8.57
S00217,21,CSE,31,60,33,82,70,34,Female,9.76
S00218,21,CSE,70,72,77,92,85,65,Male,8.9
S00219,23,CSE,98,91,65,77,47,75,Male,5.27
S00220,22,CSE,83,79,57,61,35,38,Female,8.34
S00221,23,CSE,75,45,78,55,79,54,Female,6.19
S00222,21,CSE,93,75,66,38,76,53,Male,7.69
S00223,23,CSE,92,72,99,78,63,31,Male,6.08
S00224,24,CSE,60,38,48,53,82,70,Female,7.61
S00225,20,CSE,68,88,53,98,93,93,Male,8.21
S00226,21,CSE,34,61,42,30,53,89,Male,6.46
S00227,18,CSE,37,94,89,81,68,69,Male,7.16
S00228,22,CSE,38,34,61,79,90,53,Male,6.92
S00229,24,CSE,30,88,32,51,53,32,Female,8.46
S00230,18,CSE,64,85,48,77,86,56,Female,8.01
S00231,21,CSE,88,93,70,36,83,48,Female,5.14
S00232,20,CSE,91,80,51,80,52,56,Female,6.65
S00233,18,CSE,86,61,68,98,99,56,Male,5.37
S00234,18,CSE,96,33,98,39,43,59,Male,6.54
S00235,24,CSE,90,84,67,35,30,42,Male,7.12
S00236,22,CSE,39,50,88,60,78,70,Male,5.39
S00237,23,CSE,77,78,46,58,70,70,Male,9.92
S00238,24,CSE,50,79,65,34,48,58,Male,5.33
S00239,22,CSE,94,85,81,30,74,87,Male,6.5
S00240,22,CSE,99,74,34,37,73,97,Female,7.0
S00241,24,CSE,60,72,90,40,99,79,Female,5.26
S00242,20,CSE,68,71,54,75,61,68,Male,6.74
S00243,20,CSE,35,89,96,81,51,51,Male,8.38
S00244,18,CSE,93,45,79,49,99,60,Male,7.92
S00245,20,CSE,51,88,60,95,41,44,Male,7.53
S00246,22,CSE,39,99,44,35,81,78,Male,8.22
S00247,24,CSE,63,76,36,68,59,50,Male,6.85
S00248,19,CSE,75,35,80,69,41,89,Female,6.69
S00249,22,CSE,55,81,81,91,92,94,Female,7.5
S00250,21,CSE,59,96,33,80,92,51,Male,8.57
S00251,23,CSE,66,86,55,78,47,67,Female,5.26
S00252,22,CSE,90,57,71,55,69,58,Female,9.71
S00253,20,CSE,83,41,41,93,91,53,Male,7.84
S00254,22,CSE,70,31,56,69,75,89,Female,7.13
S00255,20,CSE,92,74,52,67,65,33,Female,9.31
S00256,21,CSE,56,41,48,97,68,54,Male,5.29
S00257,18,CSE,99,68,69,47,57,30,Male,5.19
S00258,20,CSE,84,37,80,54,88,50,Male,7.9
S00259,21,CSE,74,75,62,30,42,49,Female,7.28
S00260,21,CSE,47,62,38,64,33,53,Male,8.86
S00261,22,CSE,89,41,87,57,83,83,Male,5.34
S00262,20,CSE,75,46,58,41,70,79,Male,9.59
S00263,23,CSE,95,41,54,81,75,46,Female,9.16
S00264,21,CSE,38,70,84,49,45,66,Male,9.88
S00265,22,CSE,68,31,76,75,89,48,Male,5.64
S00266,21,CSE,94,41,74,30,90,83,Male,9.86
S00267,22,CSE,51,92,90,65,99,47,Female,9.73
S00268,18,CSE,70,57,66,83,32,42,Female,9.42
S00269,19,CSE,87,35,54,71,40,77,Male,8.66
S00270,20,CSE,63,56,31,70,51,51,Male,5.88
S00271,23,CSE,81,80,46,87,31,57,Female,7.21
S00272,24,CSE,55,32,83,86,84,36,Female,8.29
S00273,21,CSE,35,89,79,89,73,41,Male,9.93
S00274,20,CSE,63,48,87,80,69,34,Female,7.62
S00275,24,CSE,92,65,94,64,94,89,Female,9.18
S00276,21,CSE,57,67,94,53,59,73,Female,7.89
S00277,22,CSE,65,83,51,97,46,51,Male,8.06
S00278,21,CSE,86,67,83,79,77,34,Male,8.64
S00279,20,CSE,46,66,63,66,30,82,Female,7.42
S00280,23,CSE,58,58,76,75,99,50,Female,6.14
S00281,21,CSE,95,55,51,82,54,81,Female,6.11
S00282,23,CSE,31,69,31,89,90,52,Male,8.76
S00283,19,CSE,91,40,91,58,89,90,Male,5.84
S00284,24,CSE,67,46,32,93,44,77,Female,8.73
S00285,23,CSE,51,80,56,61,57,71,Male,6.63
S00286,22,CSE,85,95,40,81,38,34,Male,6.02
S00287,22,CSE,92,45,91,63,72,51,Female,5.18
S00288,23,CSE,53,76,61,85,33,44,Female,5.3
S00289,18,CSE,92,84,34,48,37,50,Female,9.68
S00290,22,CSE,63,84,97,57,35,69,Female,8.92
S00291,23,CSE,92,39,34,47,75,47,Male,7.34
S00292,23,CSE,73,64,60,56,73,62,Female,8.67
S00293,23,CSE,46,76,46,54,70,93,Female,7.7
S00294,18,CSE,40,44,67,86,98,50,Male,5.34
S00295,18,CSE,37,36,32,57,43,84,Female,5.82
S00296,20,CSE,99,62,33,70,89,84,Male,9.24
S00297,22,CSE,92,63,45,53,42,99,Male,7.65
S00298,18,CSE,92,87,93,59,67,50,Female,9.2
S00299,23,CSE,81,60,56,49,39,43,Female,6.38
S00300,18,CSE,35,79,82,96,85,49,Male,7.37
S00301,21,CSE,32,86,41,84,36,48,Female,9.61
S00302,22,CSE,60,75,71,70,90,46,Female,6.8
S00303,19,CSE,62,54,46,65,89,42,Male,5.73
S00304,24,CSE,82,94,99,39,48,42,Male,5.35
S00305,19,CSE,80,88,35,62,89,54,Female,8.44
S00306,23,CSE,78,34,97,44,77,53,Male,6.11
S00307,18,CSE,54,97,54,48,59,92,Female,8.57
S00308,22,CSE,38,67,63,83,65,92,Female,6.6
S00309,18,CSE,99,54,45,45,88,99,Female,6.55
S00310,23,CSE,99,99,85,36,51,36,Female,5.21
S00311,22,CSE,80,97,71,67,65,48,Male,9.66
S00312,21,CSE,69,38,72,62,67,93,Female,9.34
S00313,24,CSE,83,47,98,87,45,84,Male,9.86
S00314,19,CSE,98,63,58,78,44,32,Female,7.71
S00315,20,CSE,73,47,80,35,46,62,Male,9.44
S00316,24,CSE,59,89,74,37,47,65,Male,8.94
S00317,22,CSE,73,73,65,46,42,61,Male,5.23
S00318,23,CSE,45,77,93,39,70,63,Female,7.26
S00319,19,CSE,83,46,91,38,81,51,Male,8.32
S00320,21,CSE,87,92,85,46,92,64,Male,5.86
S00321,21,CSE,40,51,85,49,55,49,Female,7.21
S00322,24,CSE,39,53,79,73,88,30,Female,6.97
S00323,22,CSE,50,90,57,70,96,91,Male,7.3
S00324,23,CSE,42,68,45,97,90,54,Male,9.38
S00325,21,CSE,57,53,56,84,56,58,Female,7.98
S00326,24,CSE,98,58,34,42,50,48,Male,7.94
S00327,20,CSE,77,47,71,79,78,80,Female,9.03
S00328,23,CSE,84,97,72,90,42,80,Female,8.24
S00329,23,CSE,46,66,99,61,59,90,Female,5.4
S00330,23,CSE,47,44,78,95,96,37,Male,8.96
S00331,22,CSE,35,30,50,35,47,94,Male,7.56
S00332,18,CSE,63,58,47,42,80,44,Female,6.73
S00333,18,CSE,83,86,90,35,91,51,Female,6.27
S00334,18,CSE,91,91,68,95,63,91,Male,9.97
S00335,24,CSE,93,82,78,84,76,60,Male,6.32
S00336,22,CSE,61,73,31,38,97,99,Female,7.11
S00337,21,CSE,98,45,38,60,57,34,Male,5.53
S00338,22,CSE,51,50,34,88,84,85,Female,9.01
S00339,20,CSE,61,56,55,73,38,48,Female,9.2
S00340,24,CSE,47,46,71,60,75,57,Female,5.56
S00341,21,CSE,48,59,93,72,61,91,Male,6.12
S00342,24,CSE,40,74,47,43,90,51,Male,7.43
S00343,21,CSE,69,92,46,79,33,66,Male,8.84
S00344,20,CSE,40,96,34,67,76,94,Male,9.75
S00345,18,CSE,98,68,45,73,35,37,Male,6.6
S00346,23,CSE,44,72,36,94,65,34,Female,8.7
S00347,22,CSE,92,54,58,30,31,54,Male,8.89
S00348,19,CSE,93,91,99,82,80,54,Female,7.74
S00349,18,CSE,46,52,65,86,57,32,Male,8.25
S00350,24,CSE,92,86,79,82,58,41,Female,6.27
S00351,18,CSE,67,58,54,39,65,57,Female,9.25
S00352,19,CSE,92,55,40,44,52,51,Male,7.55
S00353,18,CSE,95,89,76,97,83,50,Female,5.24
S00354,24,CSE,95,39,81,87,42,43,Female,5.66
S00355,18,CSE,79,55,44,86,98,55,Male,5.46
S00356,21,CSE,33,79,58,86,66,51,Female,5.2
S00357,20,CSE,56,33,95,30,71,82,Male,8.76
S00358,19,CSE,39,32,63,98,46,62,Male,9.42
S00359,20,CSE,87,53,61,33,67,76,Male,7.29
S00360,20,CSE,39,36,69,43,30,44,Male,9.23
S00361,24,CSE,42,57,72,94,89,55,Female,5.58
S00362,22,CSE,54,46,85,87,53,57,Female,6.55
S00363,24,CSE,66,34,39,71,63,52,Female,7.36
S00364,22,CSE,74,31,51,59,53,65,Male,8.02
S00365,19,CSE,32,81,97,70,90,33,Female,9.94
S00366,18,CSE,77,91,94,79,94,75,Female,8.19
S00367,21,CSE,52,81,81,45,61,40,Male,9.49
S00368,23,CSE,30,47,50,81,53,43,Female,9.79
S00369,19,CSE,99,57,45,93,83,98,Female,8.02
S00370,22,CSE,54,95,89,89,84,87,Female,7.76
S00371,21,CSE,88,63,99,92,63,87,Male,8.97
S00372,20,CSE,37,85,64,38,41,69,Male,5.93
S00373,18,CSE,88,98,75,61,36,96,Female,7.57
S00374,24,CSE,61,61,73,57,47,46,Male,5.59
S00375,18,CSE,42,88,73,31,92,32,Female,8.65
S00376,22,CSE,83,57,90,70,42,44,Male,7.93
S00377,22,CSE,76,88,93,59,77,57,Male,5.46
S00378,23,CSE,51,48,59,47,57,62,Male,6.8
S00379,19,CSE,89,96,69,50,77,53,Female,7.55
S00380,22,CSE,94,74,65,52,64,35,Female,5.96
S00381,22,CSE,32,61,87,63,75,55,Male,8.01
S00382,24,CSE,78,72,33,76,31,35,Female,9.37
S00383,18,CSE,77,56,78,72,97,49,Male,6.66
S00384,20,CSE,37,48,78,33,64,37,Male,5.37
S00385,20,CSE,77,42,63,30,65,99,Female,7.86
S00386,20,CSE,55,95,72,55,80,32,Male,5.84
S00387,19,CSE,86,56,46,56,97,67,Female,8.44
S00388,18,CSE,72,75,61,79,87,97,Male,5.35
S00389,23,CSE,82,54,98,80,31,62,Male,9.2
S00390,21,CSE,46,98,78,31,60,42,Male,5.8
S00391,19,CSE,66,53,31,48,85,56,Female,8.47
S00392,23,CSE,86,35,35,94,98,73,Female,8.67
S00393,18,CSE,71,95,85,85,35,76,Female,8.31
S00394,22,CSE,71,95,82,33,35,47,Male,7.64
S00395,22,CSE,45,54,96,54,66,45,Male,7.46
S00396,23,CSE,34,68,58,33,73,70,Male,5.9
S00397,18,CSE,82,44,67,80,37,68,Female,5.95
S00398,19,CSE,83,72,91,67,51,71,Female,7.37
S00399,19,CSE,45,89,63,68,64,99,Female,7.25
S00400,21,CSE,37,30,51,60,64,36,Male,7.69
S00401,21,CSE,33,91,36,98,58,53,Female,6.43
S00402,20,CSE,35,79,76,60,95,57,Female,8.92
S00403,20,CSE,77,74,74,42,95,85,Female,9.13
S00404,20,CSE,62,73,37,83,84,61,Male,8.51
S00405,18,CSE,62,63,68,32,44,35,Male,7.31
S00406,21,CSE,53,64,30,99,62,35,Male,5.93
S00407,20,CSE,46,76,70,44,65,57,Female,6.62
S00408,20,CSE,32,38,55,61,45,71,Male,6.91
S00409,20,CSE,38,68,99,34,64,86,Female,5.88
S00410,18,CSE,93,73,43,90,58,48,Male,5.09
S00411,24,CSE,80,60,58,33,91,61,Male,8.54
S00412,20,CSE,84,76,89,33,89,54,Male,5.5
S00413,21,CSE,37,69,50,48,82,50,Female,8.35
S00414,24,CSE,35,73,65,34,33,55,Female,8.4
S00415,22,CSE,78,64,57,32,46,88,Female,8.17
S00416,23,CSE,82,70,85,72,97,71,Male,6.8
S00417,22,CSE,94,74,73,59,48,39,Female,9.88
S00418,24,CSE,94,36,34,43,46,63,Female,9.62
S00419,23,CSE,42,88,32,46,91,75,Male,9.23
S00420,23,CSE,30,62,53,50,42,69,Male,8.57
S00421,19,CSE,90,89,57,63,91,92,Male,6.25
S00422,20,CSE,51,39,41,34,86,85,Male,7.71
S00423,20,CSE,44,54,51,83,96,59,Female,9.06
S00424,19,CSE,92,50,35,81,91,94,Male,8.01
S00425,21,CSE,65,97,98,39,60,91,Female,8.43
S00426,23,CSE,86,62,75,76,70,50,Male,6.1
S00427,21,CSE,72,77,88,47,33,79,Female,9.91
S00428,19,CSE,94,36,80,87,73,39,Male,6.92
S00429,20,CSE,33,84,53,41,51,47,Male,6.31
S00430,20,CSE,72,55,49,50,33,74,Female,8.95
S00431,21,CSE,41,79,32,86,70,85,Female,5.14
S00432,20,CSE,64,33,79,31,57,39,Male,5.69
S00433,22,CSE,95,86,69,73,74,84,Female,7.48
S00434,19,CSE,93,68,86,71,61,36,Female,9.55
S00435,22,CSE,62,55,45,91,86,86,Female,5.76
S00436,24,CSE,43,82,97,39,57,66,Female,9.19
S00437,23,CSE,57,32,56,40,58,80,Female,7.28
S00438,19,CSE,66,90,54,42,35,88,Male,6.71
S00439,21,CSE,90,35,56,64,49,39,Female,5.08
S00440,24,CSE,35,83,32,79,40,53,Male,5.98
S00441,21,CSE,53,39,68,36,30,63,Male,9.73
S00442,21,CSE,88,31,30,96,65,89,Female,6.34
S00443,20,CSE,30,51,71,86,43,37,Female,9.94
S00444,20,CSE,66,83,53,74,62,89,Female,7.45
S00445,19,CSE,52,87,83,62,64,68,Female,5.09
S00446,18,CSE,36,49,74,43,93,91,Male,7.14
S00447,21,CSE,42,98,89,33,88,45,Male,8.31
S00448,19,CSE,39,85,30,47,35,81,Male,5.93
S00449,20,CSE,74,77,89,84,76,67,Female,7.8
S00450,22,CSE,57,46,62,68,63,80,Male,7.56
S00451,18,CSE,68,71,51,93,69,66,Male,8.35
S00452,20,CSE,41,32,56,36,95,60,Female,7.85
S00453,20,CSE,59,42,88,95,78,73,Male,8.32
S00454,21,CSE,30,35,55,67,37,74,Female,6.27
S00455,24,CSE,39,88,65,99,48,90,Male,8.38
S00456,24,CSE,54,77,31,60,47,41,Female,6.02
S00457,23,CSE,74,97,55,55,81,96,Female,5.56
S00458,24,CSE,33,69,91,42,56,84,Female,6.24
S00459,24,CSE,87,77,51,57,59,54,Female,5.37
S00460,23,CSE,39,52,38,55,52,35,Male,6.06
S00461,21,CSE,50,35,85,99,71,45,Female,6.35
S00462,21,CSE,38,79,33,81,42,64,Male,7.0
S00463,18,CSE,33,32,83,90,37,65,Male,8.02
S00464,19,CSE,99,39,81,52,94,56,Female,6.06
S00465,21,CSE,80,56,44,81,48,97,Female,9.78
S00466,20,CSE,32,95,72,64,79,45,Male,5.09
S00467,24,CSE,63,67,66,35,43,85,Female,6.77
S00468,21,CSE,93,47,31,78,94,92,Male,6.82
S00469,20,CSE,92,74,53,33,69,92,Male,7.29
S00470,18,CSE,45,90,81,82,34,38,Male,8.69
S00471,20,CSE,50,42,71,73,88,80,Male,8.42
S00472,22,CSE,48,92,43,80,40,88,Female,6.34
S00473,22,CSE,74,83,94,37,98,90,Male,9.63
S00474,23,CSE,67,41,57,86,74,84,Male,7.36
S00475,20,CSE,46,73,44,47,64,65,Female,6.17
S00476,21,CSE,69,81,61,64,86,49,Female,8.91
S00477,24,CSE,31,85,53,71,49,48,Male,7.97
S00478,19,CSE,98,98,90,40,97,99,Male,6.53
S00479,23,CSE,39,67,63,74,64,44,Male,5.13
